Metropolitan Statistical Area,Population
San Juan,2157729
Fairbanks,34657
Detroit,1747582
New Orleans,1272995
Memphis,1346931
Mobile,414817
Philadelphia,2134060
Baltimore,2797991
Savannah,385219
Auburn,160071
Flint,407879
Hammond,129819
Salinas,434506
Chicago,7318619
Albany,152566
Montgomery,372661
Shreveport,442787
Fayetteville,378409
Fort Wayne,431558
Monroe,179125
St. Louis,2811156
Pine Bluff,92403
Gary,700547
Columbus,316990
Louisville/Jefferson County,1285169
Chicago,9523022
Little Rock,737086
Bakersfield,884443
Beckley,121287
Milwaukee,1577025
Baton Rouge,833146
Virginia Beach,1724733
Charleston,762454
Saginaw,191925
Lafayette,493575
Cleveland,2055254
Indianapolis,2004800
Rockford,337323
Tulsa,984554
Kankakee,109833
Detroit,4302722
Las Vegas,2155946
Topeka,232459
Anchorage,315641
Houma,212402
Goldsboro,124396
Jacksonville,1473678
Stockton,729104
Chambersburg,153940
Yakima,250717
Albuquerque,907140
Cheyenne,97275
Rocky Mount,147228
Orlando,2445214
Hilton Head Island,211983
Wichita Falls,150165
Dayton,800013
Philadelphia,6068767
St. Joseph,126595
Alexandria,154032
Charleston,218036
Macon,229434
Corpus Christi,456121
Lima,103900
Muncie,116443
San Antonio,2426076
Yuba City,170558
Tuscaloosa,241294
Augusta,595180
Texarkana,149537
Hanford,149661
"Kokomo, IN",82350
Wilmington,723943
Houston,6789215
Miami,2737194
Myrtle Beach,444122
Visalia,460141
Columbia,820037
Toledo,604373
Vineland,154814
Anniston,114790
Sebring,99857
Burlington,159667
Atlanta,5790619
"Florence, SC",207007
Lake Charles,206047
Trenton,370221
Camden,1246564
Clarksville,285097
Dothan,148284
Oklahoma City,1372721
"Pueblo, CO",164337
Redding,178755
Beaumont,408167
Abilene,169885
Kalamazoo,336919
Niles,154139
Wichita,643764
Fresno,976874
Modesto,539425
Killeen,434470
Nashville ,1863012
Cape Girardeau,97631
Cumberland,98752
East Stroudsburg,165226
Los Angeles,10170868
Oakland,2787325
Williamsport,115682
Akron,703561
Chattanooga,551407
Grand Junction,148848
Hattiesburg,149558
Newark,2506862
Wilmington,282695
Gadsden,102537
Miami,6113688
Staunton,119934
Cape Coral,720949
Jackson,159287
Phoenix,4662302
"Vallejo, CA",437638
Jackson,129606
Jonesboro,129793
Amarillo,263223
Syracuse,655589
Washington,4858787
West Palm Beach,1446241
Battle Creek,133914
Columbus,2043036
Crestview,268298
Dallas,4791249
Johnstown,134652
Muskegon,172890
Ocala,346358
Pensacola,484608
"Rome, GA",96420
Winchester,134144
Asheville,451305
Dallas,7219989
Las Cruces,214233
Los Angeles,13350144
Pittsburgh,2345496
Riverside,4509084
Roanoke,314014
San Francisco,4688840
Fort Smith,279567
Mansfield,121064
San Angelo,120833
South Bend,319742
Buffalo,1127663
Fort Worth,2428740
Huntsville,448973
Lexington,505664
Mount Vernon,123317
Valdosta,143315
Great Falls,82482
Tucson,1017936
Cincinnati,2163182
