city,country,population,# of Bars,# of parks,# of galleries,# of gyms,# of bookstores,# of fast food restaurants
Fairbanks,US,34657,34,4,7,11,4,33
Detroit,US,1747582,1200,219,139,684,154,1900
New Orleans,US,1272995,841,134,248,290,82,660
Memphis,US,1346931,283,76,42,172,35,704
Mobile,US,414817,127,28,20,63,10,266
Philadelphia,US,2134060,1700,421,317,1300,262,1600
Baltimore,US,2797991,933,228,123,682,142,1500
Savannah,US,385219,269,76,70,106,29,340
Auburn,US,160071,43,12,3,16,11,102
Flint,US,407879,173,36,13,70,13,298
Hammond,US,129819,2200,491,430,1300,250,2700
Salinas,US,434506,235,204,152,298,67,467
Chicago,US,7318619,2800,884,569,2100,399,4000
Albany,US,152566,268,52,37,163,45,323
Montgomery,US,372661,69,27,7,33,8,201
Shreveport,US,442787,108,23,12,46,16,220
Fayetteville,US,378409,151,70,16,80,19,275
Fort Wayne,US,431558,132,20,11,52,19,243
Pine Bluff,US,92403,4,3,1,2,0,38
Gary,US,700547,1300,282,329,803,148,1600
Columbus,US,316990,759,240,99,402,86,1100
Chicago,US,7318619,2800,884,569,2100,399,4000
Little Rock,US,737086,140,33,18,78,21,379
Bakersfield,US,884443,127,83,12,125,26,448
Beckley,US,121287,26,12,2,8,3,68
Milwaukee,US,1577025,1000,205,104,352,76,799
Baton Rouge,US,833146,189,79,28,129,18,422
Virginia Beach,US,1724733,426,168,54,310,89,797
Saginaw,US,191925,134,17,10,33,10,199
Cleveland,US,2055254,996,195,108,429,86,1000
Indianapolis,US,2004800,654,361,112,418,84,1100
Rockford,US,337323,199,28,12,71,20,286
Tulsa,US,984554,265,61,30,152,36,531
Kankakee,US,109833,87,14,5,26,2,105
Detroit,US,1747582,1200,219,139,684,154,1900
Las Vegas,US,2155946,1200,369,162,793,142,1900
Topeka,US,232459,55,9,7,26,5,102
Anchorage,US,315641,106,100,29,66,23,172
Houma,US,212402,42,7,3,22,3,86
Goldsboro,US,124396,20,6,5,14,8,124
Jacksonville,US,1473678,455,195,45,326,54,839
Stockton,US,729104,243,163,38,313,56,682
Chambersburg,US,153940,76,30,8,32,10,150
Yakima,US,250717,55,15,2,18,9,99
Albuquerque,US,907140,250,153,79,242,55,592
Cheyenne,US,97275,30,9,4,14,6,62
Rocky Mount,US,147228,21,6,2,9,6,89
Orlando,US,2445214,999,315,109,663,122,1600
Hilton Head Island,US,211983,271,69,75,86,31,202
Wichita Falls,US,150165,32,8,2,17,5,105
Dayton,US,800013,354,112,40,150,47,646
Philadelphia,US,2134060,1700,421,317,1300,262,1600
Alexandria,US,154032,1600,746,396,1900,262,2800
Macon,US,229434,56,14,11,33,11,247
Corpus Christi,US,456121,152,51,22,49,13,255
Lima,US,103900,55,4,2,9,3,91
Muncie,US,116443,69,58,10,14,11,168
San Antonio,US,2426076,779,197,112,499,85,1400
Yuba City,US,170558,76,55,8,87,16,154
Tuscaloosa,US,241294,51,10,2,17,7,125
Augusta,US,595180,118,43,13,71,10,303
Texarkana,US,149537,17,6,1,14,2,84
Wilmington,US,723943,228,41,35,93,20,207
Houston,US,6789215,1600,395,244,1300,208,3300
Miami,US,2737194,1200,470,281,1200,113,1800
Myrtle Beach,US,444122,289,43,17,70,22,265
Visalia,US,460141,87,36,7,81,14,301
Toledo,US,604373,265,35,15,75,19,397
Vineland,US,154814,156,40,16,123,21,187
Anniston,US,114790,26,8,2,5,2,145
Sebring,US,99857,25,11,4,5,2,52
Tulsa,US,984554,264,59,30,152,36,530
Atlanta,US,5790619,1400,425,262,1300,188,2700
Lake Charles,US,206047,44,11,2,18,3,102
Trenton,US,370221,639,185,99,681,104,894
Camden,US,1246564,42,15,19,10,19,22
Clarksville,US,285097,50,19,6,28,8,180
Dothan,US,148284,34,6,2,13,3,102
Oklahoma City,US,1372721,393,82,73,247,56,843
Redding,US,178755,61,32,6,43,15,125
Abilene,US,169885,33,12,7,22,8,124
Kalamazoo,US,336919,141,48,24,62,18,198
Wichita,US,643764,161,17,17,60,21,360
Fresno,US,976874,198,90,33,207,32,624
Modesto,US,539425,210,118,26,236,44,634
Killeen,US,434470,88,28,10,65,12,237
Cape Girardeau,US,97631,47,10,3,8,2,56
Cumberland,US,98752,788,232,144,822,115,797
East Stroudsburg,US,165226,199,39,15,91,18,222
Los Angeles,US,10170868,3100,1800,1200,6100,908,7600
Oakland,US,2787325,2400,1800,1100,4300,632,3200
Williamsport,US,115682,65,7,3,12,8,53
Akron,US,703561,614,135,52,283,61,825
Chattanooga,US,551407,156,58,23,76,30,386
Grand Junction,US,148848,48,13,10,25,9,88
Hattiesburg,US,149558,28,6,1,17,6,85
Newark,US,2506862,5900,1300,1400,4600,642,5000
Wilmington,US,723943,228,41,35,93,20,207
Gadsden,US,102537,24,7,2,5,1,128
Miami,US,2737194,1200,470,281,1200,113,1800
Staunton,US,119934,66,25,14,30,15,138
Cape Coral,US,720949,393,120,64,158,37,412
Phoenix,US,4662302,1200,353,254,1500,189,2900
Jonesboro,US,129793,17,5,2,7,3,81
Amarillo,US,263223,73,15,5,32,8,169
Syracuse,US,655589,202,44,21,104,16,184
West Palm Beach,US,1446241,465,158,98,453,49,601
Battle Creek,US,133914,77,15,4,22,7,115
Columbus,US,316990,759,240,99,402,86,1100
Crestview,US,268298,104,37,11,64,14,183
Dallas,US,4791249,1500,459,220,1400,207,3700
Johnstown,US,134652,96,27,7,15,4,90
Muskegon,US,172890,81,20,11,25,9,106
Ocala,US,346358,107,44,9,56,11,239
Pensacola,US,484608,167,53,23,83,16,287
Winchester,US,134144,260,181,49,494,89,1100
Asheville,US,451305,280,72,120,124,37,283
Dallas,US,4791249,1500,459,220,1400,207,3700
Las Cruces,US,214233,33,24,14,24,9,116
Los Angeles,US,10170868,3100,1800,1200,6100,908,7600
Pittsburgh,US,2345496,956,190,93,418,93,830
Dayton,US,800013,344,110,39,140,44,638
Roanoke,US,314014,929,252,74,728,115,2300
San Francisco,US,4688840,2200,1600,1100,3800,552,2500
Fort Smith,US,279567,38,13,3,18,11,113
Mansfield,US,121064,64,10,1,15,11,117
San Angelo,US,120833,36,6,4,20,4,64
South Bend,US,319742,216,48,15,53,23,280
Buffalo,US,1127663,627,195,77,265,76,595
Fort Worth,US,2428740,718,206,53,593,81,1900
Huntsville,US,448973,110,32,14,63,20,281
Lexington,US,505664,209,53,35,108,29,435
Mount Vernon,US,123317,220,90,55,114,34,231
Valdosta,US,143315,30,5,2,9,3,114
Great Falls,US,82482,39,1,7,8,3,44
Tucson,US,1017936,320,119,88,305,53,683
Cincinnati,US,2163182,820,221,104,364,83,1200
Rochester,US,1075149,400,104,43,186,49,330
Warner Robins,US,189578,57,14,12,35,11,262
Champaign,US,239184,109,19,12,37,14,151
Coeur d'Alene,US,153701,95,28,9,40,10,106
Jefferson City,US,151164,44,9,0,17,3,79
Lynchburg,US,259926,41,9,9,25,7,137
Colorado Springs,US,707431,279,66,52,197,46,470
Madera,US,154726,156,75,31,159,25,480
Panama City,US,200502,108,26,10,31,8,151
Tallahassee,US,380448,122,44,13,69,15,221
Laredo,US,272746,41,6,0,12,0,89
Parkersburg,US,91681,27,8,2,4,2,78
Brunswick,US,116597,45,23,9,13,6,70
Denver,US,2868232,1500,541,282,1500,212,2000
Knoxville,US,866010,204,74,23,111,27,491
Odessa,US,163843,73,13,5,35,5,164
Fort Lauderdale,US,1930253,1400,496,337,1300,117,1900
Gainesville,US,196154,110,62,14,74,17,210
Hot Springs,US,97312,46,19,3,8,4,81
Port St. Lucie,US,461932,204,85,27,118,10,269
Racine,US,194692,957,170,100,297,72,777
San Francisco,US,4688840,2200,1600,1100,3800,552,2500
Des Moines,US,632763,302,74,23,108,27,320
Erie,US,276700,106,10,16,16,9,94
Sherman,US,125998,47,14,5,21,2,121
Sierra Vista,US,125652,28,16,9,14,4,49
Joplin,US,177228,46,9,5,15,6,122
Lakeland,US,661218,229,81,9,135,25,449
Omaha,US,923710,479,86,36,201,41,547
Salt Lake City,US,1190065,282,207,65,394,85,1000
Sioux Falls,US,256120,87,12,8,25,5,109
Tampa,US,3020266,1300,468,166,785,111,1500
Salisbury,US,397778,38,7,8,18,8,104
Springfield,US,210256,122,21,10,55,18,232
Hinesville,US,80776,35,10,1,32,3,132
New Haven,US,804612,522,141,73,400,65,656
Peoria,US,375999,154,25,4,34,10,153
Springfield,US,210256,122,21,10,55,18,232
Sumter,US,107671,22,8,3,11,2,92
Oxnard,US,849851,190,197,79,360,68,520
Pocatello,US,84414,41,0,2,7,2,64
Bowling Green,US,170204,242,31,13,69,17,368
Elmira,US,86124,122,30,11,43,17,87
Evansville,US,315875,79,9,5,26,8,146
Palm Bay,US,574187,229,82,22,100,22,254
Tacoma,US,857339,929,505,194,643,163,1400
Austin,US,2054651,989,352,185,1200,135,1400
Harrisburg,US,566382,295,72,49,147,38,367
Lansing,US,473685,170,25,15,67,20,207
Rapid City,US,145700,76,20,8,16,11,82
Decatur,US,152077,1400,413,263,1300,194,2800
New York,US,20177990,6200,1400,1400,4800,668,5100
Davenport,US,383016,188,16,9,35,15,183
Enid,US,63828,13,3,3,6,2,41
Lawton,US,129814,33,8,5,21,4,81
New York,US,20177990,6200,1400,1400,4800,668,5100
Reno,US,457558,394,209,73,259,44,411
Tyler,US,224848,48,11,6,36,6,175
Walla Walla,US,64789,36,12,4,5,5,33
Bloomington,US,166354,84,55,22,43,17,120
Boston,US,1994514,1600,562,347,1900,308,1500
Deltona,US,631296,534,268,80,422,91,874
Eau Claire,US,166178,117,8,5,14,6,78
Kahului,US,164771,117,133,106,115,13,130
San Diego,US,3317259,1700,846,386,2300,307,2500
Bay City,US,105209,119,14,10,30,10,183
Lubbock,US,314167,94,13,14,43,10,219
San Jose,US,1991233,875,940,251,2000,264,2000
Santa Maria,US,445908,173,123,44,159,36,297
Spokane,US,553915,260,58,23,109,22,295
Springfield,US,210256,122,21,10,55,18,232
Blacksburg,US,181407,42,7,11,20,7,130
Decatur,US,152077,1400,413,263,1300,194,2800
Punta Gorda,US,176234,236,61,38,91,20,296
Wheeling,US,142933,2800,975,593,2300,430,4000
El Paso,US,843018,280,63,12,124,24,451
Hagerstown,US,261805,186,57,22,89,36,326
Prescott,US,225038,59,24,39,36,18,91
Seattle,US,3808184,1700,884,353,1600,325,2000
Sebastian,US,150236,189,71,27,84,15,214
Waco,US,263878,73,13,7,30,10,184
