,city,country,# of Bars,# of parks,# of galleries,# of gyms,# of bookstores,# of fast food restaurants
0,San Juan,PR,344,32,19,44,12,122
1,Fairbanks,US,34,4,7,11,4,33
2,Detroit,US,1200,219,139,684,154,1900
3,New Orleans,US,841,134,248,290,82,660
4,Memphis,US,283,76,42,172,35,704
5,Mobile,US,127,28,20,63,10,266
6,Philadelphia,US,1700,421,317,1300,262,1600
7,Baltimore,US,933,228,123,682,142,1500
8,Savannah,US,269,76,70,106,29,340
9,Auburn,US,43,12,3,16,11,102
10,Flint,US,173,36,13,70,13,298
11,Hammond,US,2200,491,430,1300,250,2700
12,Salinas,US,235,204,152,298,67,467
13,Chicago,US,2800,884,569,2100,399,4000
14,Albany,US,268,52,37,163,45,323
15,Montgomery,US,69,27,7,33,8,201
16,Shreveport,US,108,23,12,46,16,220
17,Fayetteville,US,151,70,16,80,19,275
18,Fort Wayne,US,132,20,11,52,19,243
19,Coffeyville,US,14,3,0,5,1,39
20,Saint Louis,US,1000,239,103,438,111,1200
21,Pine Bluff,US,4,3,1,2,0,38
22,Gary,US,1300,282,329,803,148,1600
23,Columbus,US,759,240,99,402,86,1100
24,Louisville,US,390,139,70,213,62,786
25,Chicago,US,2800,884,569,2100,399,4000
26,Little Rock,US,140,33,18,78,21,379
27,Bakersfield,US,127,83,12,125,26,448
28,Beckley,US,26,12,2,8,3,68
29,Milwaukee,US,1000,205,104,352,76,799
30,Baton Rouge,US,189,79,28,129,18,422
31,Virginia Beach,US,426,168,54,310,89,797
32,Folly Beach,US,420,134,80,231,42,452
33,Saginaw,US,134,17,10,33,10,199
34,Sedan,US,1,0,0,0,0,4
35,Cleveland,US,996,195,108,429,86,1000
36,Indianapolis,US,654,361,112,418,84,1100
37,Rockford,US,199,28,12,71,20,286
38,Tulsa,US,265,61,30,152,36,531
39,Kankakee,US,87,14,5,26,2,105
40,Detroit,US,1200,219,139,684,154,1900
41,Las Vegas,US,1200,369,162,793,142,1900
42,Topeka,US,55,9,7,26,5,102
43,Anchorage,US,106,100,29,66,23,172
44,Houma,US,42,7,3,22,3,86
